,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
UBXN10,16.48197592,13.73457096,22.95209469,18.56060277,24.80877059,23.03610205,26.68372881,26.16176109,14.01475539,24.89730435,25.78736723,25.25510986
ENSGALG00000023709,0,0,0,0.452697628,0.381673394,0,10.8177279,10.46470444,16.56289274,7.113515529,16.50391503,10.10204394
IRX6,9.614485951,27.46914192,12.75116372,7.695859684,9.541834842,14.80892275,19.47191021,10.46470444,6.370343361,8.00270497,1.031494689,6.061226366
DARS2,20.6024699,25.75232055,28.05256018,24.44567194,26.71713756,22.48762343,30.28963811,24.41764368,29.30357946,26.67568323,23.72437786,19.19388349
TMEM199,278.8200926,388.0016296,382.5349115,229.065,256.866194,277.5301819,306.5022904,275.5705501,249.7174597,228.5216864,279.5350608,294.9796832
PIFO,19.2289719,8.58410685,17.8516292,4.074278656,7.633467874,3.290871722,12.26009161,5.232352218,5.096274689,4.445947206,5.157473447,9.09183955
HSPB7,0,0,0,0,0,1.096957241,2.884727439,0,2.548137344,1.778378882,2.062989379,8.081635155
ENSGALG00000023773,0,1.71682137,0,0,1.145020181,1.645435861,0.72118186,0,1.274068672,1.778378882,0,0
ENSGALG00000023780,2.746995986,0,0,1.358092885,1.145020181,0.54847862,1.442363719,3.488234812,2.548137344,0,0,3.030613183
TREM2,21.97596789,27.46914192,15.30139646,31.68883399,24.4270972,34.00567446,7.933000457,8.72058703,3.822206017,2.667568323,9.283452204,18.1836791
ENSGALG00000023812,15.10847792,20.60185644,20.40186195,19.91869565,19.46534308,20.84218757,20.19309207,24.41764368,15.28882407,14.22703106,12.37793627,12.12245273
ENSGALG00000023818,252.7236307,230.0540636,226.9707142,132.6404051,159.1578052,169.4798937,375.7357489,819.7351808,368.2058463,594.8677361,936.5971779,622.285907
ENSGALG00000023819,1.373497993,1.71682137,0,2.263488142,0,1.645435861,2.884727439,0,3.822206017,7.113515529,19.5983991,4.040817578
LDHD,48.07242976,46.35417699,71.40651681,30.78343874,17.55697611,16.45435861,26.68372881,59.2999918,43.31833485,32.90000932,47.44875571,62.63267245
ENSGALG00000023866,2.746995986,1.71682137,2.550232743,4.074278656,1.908366968,0.54847862,0.72118186,3.488234812,1.274068672,1.778378882,1.031494689,0
PLXDC1,1.373497993,3.43364274,2.550232743,0.905395257,3.435060543,2.193914481,2.884727439,0,1.274068672,2.667568323,1.031494689,0
ENSGALG00000023882,6.867489965,5.15046411,15.30139646,5.88506917,3.05338715,4.936307582,3.605909298,15.69705665,6.370343361,4.445947206,6.188968136,4.040817578
ZNF804A,8.240987958,6.86728548,7.65069823,7.695859684,6.488447693,7.130222063,5.769454877,1.744117406,5.096274689,8.891894412,8.251957515,6.061226366
PLEKHG4,0,0,0,0.452697628,2.290040362,0,1.442363719,3.488234812,0,0.889189441,0,1.010204394
FIBIN,13.73497993,15.45139233,5.100465487,15.39171937,11.06852842,10.42109378,7.211818597,6.976469624,3.822206017,6.224326088,3.094484068,6.061226366
PHYKPL,6.867489965,3.43364274,0,3.621581028,6.488447693,3.290871722,1.442363719,3.488234812,1.274068672,1.778378882,3.094484068,1.010204394
G0S2,37.08444581,44.63735562,28.05256018,13.12823123,20.61036326,19.19675171,179.5742831,94.18233992,171.9992707,224.0757392,192.8895069,205.0714921
ENSGALG00000023936,89.27736955,181.9830652,109.660008,67.90464427,43.51076688,65.81743443,89.4265506,99.41469214,38.22206017,54.24055591,113.4644158,53.5408329
CMC4,59.0604137,61.80556932,81.60744778,67.90464427,72.13627141,61.42960547,74.28173155,59.2999918,68.7997083,63.13245032,76.33060701,64.65308124
ENSGALG00000023950,48.07242976,46.35417699,53.55488761,43.91166996,62.21276317,62.52656271,49.04036646,64.53234402,52.23681556,56.01893479,56.73220792,56.57144609
ENSGALG00000023953,1.373497993,8.58410685,0,2.716185771,13.35856878,7.130222063,6.490636737,5.232352218,2.548137344,4.445947206,2.062989379,2.020408789
ENSGALG00000024018,16.48197592,18.88503507,28.05256018,28.51995059,29.77052471,13.16348689,11.53890975,17.44117406,28.02951079,8.00270497,14.44092565,33.33674502
CYB561,392.820426,427.4885211,515.1470141,267.996996,387.780168,332.9265225,191.1131928,465.6793474,301.9542753,311.2163044,366.1806147,446.5103423
